name,R2,R2_std,MAE,MAE_std,RMSE,RMSE_std,within_5_years,within_10_years,within_20_years,R2_seed_0,skew,kurtosis
300-Bas-Rhin_,0.18247625667817002,0.0,21.651345244908942,0.0,27.227321603229527,0.0,0.15704447118461815,0.3028559358918559,0.5433318825366753,0.18247625667817002,-0.27297590022792523,-0.05048985783728277
400-Isère_,0.18328645821752454,0.0,19.602191735440734,0.0,25.541472596408504,0.0,0.1720373293949888,0.34020421674475454,0.6170872377266245,0.18328645821752454,-0.625528247149195,1.1040034502738836
250-Moselle_,0.18385314621506155,0.0,21.19097192032656,0.0,26.88430351908846,0.0,0.15785198748868923,0.3083795857587654,0.5590831688670709,0.18385314621506155,-0.11211554002801499,0.14523687444820288
450-Eure-et-Loir_,0.1847299517515083,0.0,19.53028209502314,0.0,26.49513441022167,0.0,0.21013937336732938,0.39317054857732797,0.631951070719079,0.1847299517515083,-0.641981294223529,0.846323574839627
200-Isère_,0.184908298199305,0.0,19.343528126669796,0.0,25.516099705584864,0.0,0.16987930332043186,0.3355635058056631,0.635414544713791,0.184908298199305,-0.8129703321985615,1.3084115590587935
50-Yvelines_,0.1865858302827471,0.0,19.66347520673827,0.0,25.792615172482435,0.0,0.19962384353630563,0.36862246284639555,0.6083732863681333,0.1865858302827471,-0.318401640056402,0.5041244942354761
250-Haute-Garonne_,0.1873976476981204,0.0,18.38288567886254,0.0,23.983020548185564,0.0,0.184470194282682,0.3588442765062969,0.6416360550597212,0.1873976476981204,-0.3073093414195575,1.4314383293119022
450-Bas-Rhin_,0.18773616884233424,0.0,21.626738229964154,0.0,27.139590560318805,0.0,0.1558795668091861,0.3005645305819401,0.5418085460457256,0.18773616884233424,-0.32529742852451027,0.014609829431243782
200-Dordogne_,0.18819622980972006,0.0,20.960676745125927,0.0,27.72727399432005,0.0,0.1692479940287367,0.33107633798061115,0.5946738463999146,0.18819622980972006,-0.6300293544810389,0.8102919660672057
450-Côte-d'Or_,0.18823121892218797,0.0,20.650606169641183,0.0,27.52939842755538,0.0,0.17761741487919624,0.34767296600483744,0.613388087074396,0.18823121892218797,-0.5430787711599838,0.9828743519809664
50-Gard_,0.18864583045547723,0.0,18.882300727964175,0.0,25.3481113264116,0.0,0.18857353087706658,0.3650675639423924,0.6513041412136216,0.18864583045547723,-0.5657923125033899,1.4665411032046762
150-Ain_,0.19036438956034518,0.0,19.321141294179938,0.0,26.07523256559869,0.0,0.1885173736108937,0.3716152762560651,0.6491724056972923,0.19036438956034518,-0.7395757076059541,1.3695995192332049
350-Eure-et-Loir_,0.1903889210266999,0.0,19.983019513331563,0.0,26.40301999852147,0.0,0.20740196155109575,0.375885748251967,0.5963177900483349,0.1903889210266999,-0.43232854157751266,0.9194440031641902
