NUTS 3 CODE;LAU CODE;LAU NAME NATIONAL;LAU NAME LATIN;CHANGE (Y/N);POPULATION;TOTAL AREA (m2);DEGURBA;DEG change compared to last year;COASTAL AREA (yes/no);COAST change compared to last year;CITY_ID;CITY_ID change compared to last year;CITY_NAME;GREATER_CITY_ID;GREATER_CITY_ID change compared to last year;GREATER_CITY_NAME;FUA_ID;FUA_ID change compared to last year;FUA_NAME
NL226;GM0293;Westervoort;;no;14944;7029993;1;no;no;no;NL009C2;no;Greater Arnhem;;;;NL009L3;no;Arnhem
NL225;GM0294;Winterswijk;;no;28903;138136259;2;no;no;no;;;;;;;;;
NL226;GM0296;Wijchen;;no;40951;66175040;2;no;no;no;;;;;;;NL013L3;no;Nijmegen
NL224;GM0297;Zaltbommel;;no;28451;79380214;2;no;no;no;;;;;;;;;
NL226;GM0299;Zevenaar;;no;43488;92600169;2;no;no;no;;;;;;;NL009L3;no;Arnhem
NL225;GM0301;Zutphen;;no;47609;40953770;2;no;no;no;;;;;;;;;
NL221;GM0302;Nunspeet;;no;27481;128737043;2;no;no;no;;;;;;;;;
NL230;GM0303;Dronten;;no;40815;333573082;2;no;no;no;;;;;;;NL520L3;no;Lelystad
NL310;GM0307;Amersfoort;;no;156286;62621826;1;no;no;no;NL504C1;no;Amersfoort;;;;NL504L3;no;Amersfoort
NL310;GM0308;Baarn;;no;24767;32538946;1;no;no;no;NL529C1;no;Greater Soest;;;;NL529L3;no;Soest
NL310;GM0310;De Bilt;;no;42824;66121646;2;no;no;no;;;;;;;NL004L3;no;Utrecht
NL310;GM0312;Bunnik;;no;15192;36968302;2;no;no;no;;;;;;;NL004L3;no;Utrecht
NL310;GM0313;Bunschoten;;no;21576;30383020;2;no;no;no;;;;;;;;;
NL310;GM0317;Eemnes;;no;9113;31037643;2;no;no;no;;;;;;;NL002L3;no;Amsterdam
NL310;GM0321;Houten;;no;49911;54942675;2;no;no;no;;;;;;;NL004L3;no;Utrecht
NL310;GM0327;Leusden;;no;30030;58544613;2;no;no;no;;;;;;;NL504L3;no;Amersfoort
NL310;GM0331;Lopik;;no;14473;75572951;3;no;no;no;;;;;;;NL004L3;no;Utrecht
NL310;GM0335;Montfoort;;no;13996;37572505;2;no;no;no;;;;;;;NL004L3;no;Utrecht
NL310;GM0339;Renswoude;;no;5259;18400920;3;no;no;no;;;;;;;NL524L3;no;Veenendaal
NL310;GM0340;Rhenen;;no;20004;42076848;2;no;no;no;;;;;;;NL524L3;no;Veenendaal
NL310;GM0342;Soest;;no;46194;46239275;1;no;no;no;NL529C1;no;Greater Soest;;;;NL529L3;no;Soest
NL310;GM0344;Utrecht;;no;352866;93827120;1;no;no;no;NL004C2;no;Greater Utrecht;;;;NL004L3;no;Utrecht
NL310;GM0345;Veenendaal;;no;65589;19461637;1;no;no;no;NL524C1;no;Veenendaal;;;;NL524L3;no;Veenendaal
